City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,katima mulilo,-17.5,24.2667,29.0,5,2,2.89,NA,1722245792
1,nizhneangarsk,55.7833,109.55,15.16,82,63,1.34,RU,1722245792
2,polyarnyy,69.1989,33.4478,11.75,81,94,5.99,RU,1722245792
3,fort stockton,30.894,-102.8793,24.31,68,0,0.89,US,1722245793
4,isafjordur,66.0755,-23.124,11.02,87,100,1.03,IS,1722245793
5,aasiaat,68.7098,-52.8699,2.52,98,100,6.21,GL,1722245793
6,dudinka,69.4058,86.1778,27.99,38,21,5.17,RU,1722245794
7,port mathurin,-19.6833,63.4167,22.06,68,6,6.53,MU,1722245794
8,manuguru,17.981,80.7547,29.94,79,100,3.53,IN,1722245794
9,edinburgh of the seven seas,-37.0676,-12.3116,13.85,92,33,4.9,SH,1722245795
10,port lincoln,-34.7333,135.8667,11.82,67,93,4.2,AU,1722245795
11,mount gambier,-37.8333,140.7667,6.16,86,100,1.67,AU,1722245796
12,talnakh,69.4865,88.3972,28.04,35,13,3.08,RU,1722245796
13,dalandzadgad,43.5708,104.425,25.1,37,100,8.2,MN,1722245797
14,rosarito,32.3333,-117.0333,18.53,82,0,3.34,MX,1722245797
15,jamestown,42.097,-79.2353,17.8,97,0,2.06,US,1722245514
16,alice springs,-23.7,133.8833,13.75,23,0,3.6,AU,1722245798
17,auki,-8.7676,160.7034,24.19,84,81,2.78,SB,1722245798
18,ulladulla,-35.35,150.4667,8.2,61,61,7.2,AU,1722245798
19,alotau,-10.3069,150.4462,23.18,91,81,2.01,PG,1722245799
20,forio,40.7342,13.8646,33.72,82,0,1.34,IT,1722245799
21,rieti,42.4072,12.8592,33.7,42,0,1.54,IT,1722245799
22,newman,37.3138,-121.0208,18.99,77,0,1.77,US,1722245800
23,turpan,42.9333,89.1667,46.45,10,26,4.81,CN,1722245800
24,port-aux-francais,-49.35,70.2167,0.28,67,100,12.3,TF,1722245800
25,hovd,48.0056,91.6419,27.48,28,99,5.24,MN,1722245800
26,kavaratti,10.5669,72.642,28.12,85,100,9.72,IN,1722245801
27,lexington,37.9887,-84.4777,21.74,87,48,3.14,US,1722245604
28,port elizabeth,-33.918,25.5701,15.61,50,20,8.75,ZA,1722245801
29,grytviken,-54.2811,-36.5092,-2.54,73,12,3.56,GS,1722245802
30,martuk,50.7475,56.5056,22.67,50,99,1.15,KZ,1722245802
31,vorgashor,67.5833,63.95,24.09,45,98,6.28,RU,1722245802
32,tura,25.5198,90.2201,30.11,79,100,2.54,IN,1722245803
33,blackmans bay,-43.0167,147.3167,3.07,88,17,0.45,AU,1722245803
34,alofi,-19.0595,-169.9187,19.94,68,40,7.2,NU,1722245803
35,callao,-12.0667,-77.15,16.51,82,100,2.57,PE,1722245804
36,bethel,41.3712,-73.414,19.2,85,100,0.0,US,1722245804
37,waitangi,-43.9535,-176.5597,11.57,96,100,2.68,NZ,1722245805
38,adamstown,-25.066,-130.1015,20.86,80,29,6.26,PN,1722245805
39,as sulayyil,20.4607,45.5779,43.14,10,98,3.6,SA,1722245805
40,porto seguro,-16.4497,-39.0647,21.29,94,40,2.57,BR,1722245806
41,hithadhoo,-0.6,73.0833,28.74,73,100,5.74,MV,1722245806
42,lebu,-37.6167,-73.65,4.94,64,3,3.19,CL,1722245806
43,wailua homesteads,22.0669,-159.378,24.44,82,75,5.66,US,1722245807
44,kailua-kona,19.6406,-155.9956,26.98,82,0,2.57,US,1722245807
45,longyearbyen,78.2186,15.6401,9.91,93,75,4.63,SJ,1722245807
46,hawaiian paradise park,19.5933,-154.9731,21.61,93,13,1.74,US,1722245808
47,nar'yan-mar,67.6713,53.087,22.62,58,100,5.96,RU,1722245808
48,ancud,-41.8697,-73.8203,2.48,88,93,3.03,CL,1722245808
49,betio village,1.358,172.9211,27.02,68,22,0.79,KI,1722245722
50,constantia,44.1833,28.65,32.61,50,0,5.01,RO,1722245809
51,papatowai,-46.5619,169.4708,4.5,94,100,7.45,NZ,1722245809
52,puerto natales,-51.7236,-72.4875,-0.66,90,97,2.84,CL,1722245810
53,stanley,54.868,-1.6985,22.06,68,20,5.14,GB,1722245810
54,la passe,45.5549,-0.8967,31.68,49,2,4.02,FR,1722245810
55,aldan,58.6031,125.3894,18.45,85,79,8.27,RU,1722245811
56,hotan,37.0997,79.9269,41.79,7,7,4.05,CN,1722245811
57,kodiak,57.79,-152.4072,11.73,100,100,0.0,US,1722245811
58,gamba,-2.65,10.0,25.47,63,100,2.66,GA,1722245811
59,palmer,42.1584,-72.3287,18.68,82,100,3.09,US,1722245751
60,anadyr,64.75,177.4833,12.28,71,0,2.0,RU,1722245812
